color,director_name,actor_2_name,actor_1_name,movie_title,actor_3_name,title_year
Color,James Cameron,Joel David Moore,CCH Pounder,Avatar ,Wes Studi,2009
Color,Gore Verbinski,Orlando Bloom,Johnny Depp,Pirates of the Caribbean: At World's End ,Jack Davenport,2007
Color,Sam Mendes,Rory Kinnear,Christoph Waltz,Spectre ,Stephanie Sigman,2015
Color,Christopher Nolan,Christian Bale,Tom Hardy,The Dark Knight Rises ,Joseph Gordon-Levitt,2012
,Doug Walker,Rob Walker,Doug Walker,Star Wars: Episode VII - The Force Awakens             ,,
Color,Andrew Stanton,Samantha Morton,Daryl Sabara,John Carter ,Polly Walker,2012
Color,Sam Raimi,James Franco,J.K. Simmons,Spider-Man 3,Kirsten Dunst,2007
Color,Nathan Greno,Donna Murphy,Brad Garrett,Tangled ,M.C. Gainey,2010
Color,Joss Whedon,Robert Downey Jr.,Chris Hemsworth,Avengers: Age of Ultron ,Scarlett Johansson,2015
Color,David Yates,Daniel Radcliffe,Alan Rickman,Harry Potter and the Half-Blood Prince ,Rupert Grint,2009
Color,Zack Snyder,Lauren Cohan,Henry Cavill,Batman v Superman: Dawn of Justice ,Alan D. Purwin,2016
Color,Bryan Singer,Marlon Brando,Kevin Spacey,Superman Returns ,Frank Langella,2006
Color,Marc Forster,Mathieu Amalric,Giancarlo Giannini,Quantum of Solace ,Rory Kinnear,2008
Color,Gore Verbinski,Orlando Bloom,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,Jack Davenport,2006
Color,Gore Verbinski,Ruth Wilson,Johnny Depp,The Lone Ranger ,Tom Wilkinson,2013
Color,Zack Snyder,Christopher Meloni,Henry Cavill,Man of Steel ,Harry Lennix,2013
Color,Andrew Adamson,Pierfrancesco Favino,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,Damián Alcázar,2008
Color,Joss Whedon,Robert Downey Jr.,Chris Hemsworth,The Avengers ,Scarlett Johansson,2012
Color,Rob Marshall,Sam Claflin,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,Stephen Graham,2011
Color,Barry Sonnenfeld,Michael Stuhlbarg,Will Smith,Men in Black 3,Nicole Scherzinger,2012
Color,Peter Jackson,Adam Brown,Aidan Turner,The Hobbit: The Battle of the Five Armies ,James Nesbitt,2014
Color,Marc Webb,Andrew Garfield,Emma Stone,The Amazing Spider-Man ,Chris Zylka,2012
Color,Ridley Scott,William Hurt,Mark Addy,Robin Hood ,Scott Grimes,2010
Color,Peter Jackson,Adam Brown,Aidan Turner,The Hobbit: The Desolation of Smaug ,James Nesbitt,2013
Color,Chris Weitz,Eva Green,Christopher Lee,The Golden Compass ,Kristin Scott Thomas,2007
Color,Peter Jackson,Thomas Kretschmann,Naomi Watts,King Kong ,Evan Parke,2005
Color,James Cameron,Kate Winslet,Leonardo DiCaprio,Titanic ,Gloria Stuart,1997
Color,Anthony Russo,Scarlett Johansson,Robert Downey Jr.,Captain America: Civil War ,Chris Evans,2016
Color,Peter Berg,Alexander Skarsgård,Liam Neeson,Battleship ,Tadanobu Asano,2012
Color,Colin Trevorrow,Judy Greer,Bryce Dallas Howard,Jurassic World ,Omar Sy,2015
Color,Sam Mendes,Helen McCrory,Albert Finney,Skyfall ,Rory Kinnear,2012
Color,Sam Raimi,James Franco,J.K. Simmons,Spider-Man 2,Kirsten Dunst,2004
Color,Shane Black,Jon Favreau,Robert Downey Jr.,Iron Man 3,Don Cheadle,2013
Color,Tim Burton,Alan Rickman,Johnny Depp,Alice in Wonderland ,Anne Hathaway,2010
Color,Brett Ratner,Kelsey Grammer,Hugh Jackman,X-Men: The Last Stand ,Daniel Cudmore,2006
Color,Dan Scanlon,Tyler Labine,Steve Buscemi,Monsters University ,Sean Hayes,2013
Color,Michael Bay,Kevin Dunn,Glenn Morshower,Transformers: Revenge of the Fallen ,Ramon Rodriguez,2009
Color,Michael Bay,Sophia Myles,Bingbing Li,Transformers: Age of Extinction ,Kelsey Grammer,2014
Color,Sam Raimi,Mila Kunis,Tim Holmes,Oz the Great and Powerful ,James Franco,2013
Color,Marc Webb,Andrew Garfield,Emma Stone,The Amazing Spider-Man 2,B.J. Novak,2014
Color,Joseph Kosinski,Olivia Wilde,Jeff Bridges,TRON: Legacy ,James Frain,2010
Color,John Lasseter,Thomas Kretschmann,Joe Mantegna,Cars 2,Eddie Izzard,2011
Color,Martin Campbell,Temuera Morrison,Ryan Reynolds,Green Lantern ,Taika Waititi,2011
Color,Lee Unkrich,John Ratzenberger,Tom Hanks,Toy Story 3,Don Rickles,2010
Color,McG,Bryce Dallas Howard,Christian Bale,Terminator Salvation ,Common,2009
Color,James Wan,Paul Walker,Jason Statham,Furious 7,Vin Diesel,2015
Color,Marc Forster,Brad Pitt,Peter Capaldi,World War Z ,Mireille Enos,2013
Color,Bryan Singer,Peter Dinklage,Jennifer Lawrence,X-Men: Days of Future Past ,Hugh Jackman,2014
Color,J.J. Abrams,Bruce Greenwood,Benedict Cumberbatch,Star Trek Into Darkness ,Noel Clarke,2013
Color,Bryan Singer,Ewen Bremner,Eddie Marsan,Jack the Giant Slayer ,Ralph Brown,2013
Color,Baz Luhrmann,Elizabeth Debicki,Leonardo DiCaprio,The Great Gatsby ,Steve Bisley,2013
Color,Mike Newell,Richard Coyle,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,Reece Ritchie,2010
Color,Guillermo del Toro,Clifton Collins Jr.,Charlie Hunnam,Pacific Rim ,Larry Joe Campbell,2013
Color,Michael Bay,Lester Speight,Glenn Morshower,Transformers: Dark of the Moon ,Kevin Dunn,2011
Color,Steven Spielberg,Ray Winstone,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,Jim Broadbent,2008
Color,Peter Sohn,Jack McGraw,A.J. Buckley,The Good Dinosaur ,Peter Sohn,2015
Color,Mark Andrews,John Ratzenberger,Kelly Macdonald,Brave ,Julie Walters,2012
Color,Justin Lin,Melissa Roxburgh,Sofia Boutella,Star Trek Beyond ,Lydia Wilson,2016
Color,Andrew Stanton,Fred Willard,John Ratzenberger,WALL·E ,Jeff Garlin,2008
Color,Brett Ratner,Dana Ivey,Tzi Ma,Rush Hour 3,Noémie Lenoir,2007
Color,Roland Emmerich,Liam James,Oliver Platt,2012,Tom McCarthy,2009
Color,Robert Zemeckis,Colin Firth,Robin Wright,A Christmas Carol ,Gary Oldman,2009
Color,Lana Wachowski,Mila Kunis,Channing Tatum,Jupiter Ascending ,Eddie Redmayne,2015
Color,David Yates,Alexander Skarsgård,Christoph Waltz,The Legend of Tarzan ,Casper Crump,2016
Color,Andrew Adamson,Kiran Shah,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Shane Rangi,2005
Color,Bryan Singer,Michael Fassbender,Jennifer Lawrence,X-Men: Apocalypse ,Tye Sheridan,2016
Color,Christopher Nolan,Heath Ledger,Christian Bale,The Dark Knight ,Morgan Freeman,2008
Color,Pete Docter,Delroy Lindo,John Ratzenberger,Up ,Jess Harnell,2009
Color,Rob Letterman,Rainn Wilson,Amy Poehler,Monsters vs. Aliens ,Stephen Colbert,2009
Color,Jon Favreau,Jeff Bridges,Robert Downey Jr.,Iron Man ,Jon Favreau,2008
Color,Martin Scorsese,Christopher Lee,Chloë Grace Moretz,Hugo ,Ray Winstone,2011
Color,Barry Sonnenfeld,Salma Hayek,Will Smith,Wild Wild West ,Bai Ling,1999
Color,Rob Cohen,Brendan Fraser,Jet Li,The Mummy: Tomb of the Dragon Emperor ,Russell Wong,2008
Color,David Ayer,Robin Atkin Downes,Will Smith,Suicide Squad ,Ike Barinholtz,2016
Color,Tom Shadyac,Morgan Freeman,Jimmy Bennett,Evan Almighty ,Steve Carell,2007
Color,Doug Liman,Lara Pulver,Tom Cruise,Edge of Tomorrow ,Noah Taylor,2014
Color,Kevin Reynolds,Rick Aviles,Jeanne Tripplehorn,Waterworld ,Zakes Mokae,1995
Color,Stephen Sommers,Dennis Quaid,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,Leo Howard,2009
Color,Pete Docter,Mindy Kaling,Amy Poehler,Inside Out ,Phyllis Smith,2015
Color,Jon Favreau,Bill Murray,Scarlett Johansson,The Jungle Book ,Garry Shandling,2016
Color,Jon Favreau,Scarlett Johansson,Robert Downey Jr.,Iron Man 2,Jon Favreau,2010
Color,Rupert Sanders,Kristen Stewart,Chris Hemsworth,Snow White and the Huntsman ,Sam Claflin,2012
Color,Robert Stromberg,Sharlto Copley,Angelina Jolie Pitt,Maleficent ,Sam Riley,2014
Color,Matt Reeves,Judy Greer,Gary Oldman,Dawn of the Planet of the Apes ,Kodi Smit-McPhee,2014
Color,Roland Joffé,Alice Englert,Tamsin Egerton,The Lovers ,Bipasha Basu,2015
Color,Carl Rinsch,Cary-Hiroyuki Tagawa,Keanu Reeves,47 Ronin,Jin Akanishi,2013
Color,Anthony Russo,Chris Evans,Scarlett Johansson,Captain America: The Winter Soldier ,Hayley Atwell,2014
Color,Mike Mitchell,Kathy Griffin,Jon Hamm,Shrek Forever After ,Mary Kay Place,2010
Color,Brad Bird,Chris Bauer,Judy Greer,Tomorrowland ,Thomas Robinson,2015
Color,Don Hall,Daniel Henney,Damon Wayans Jr.,Big Hero 6,Abraham Benrubi,2014
Color,Rich Moore,Sarah Silverman,Jack McBrayer,Wreck-It Ralph ,Joe Lo Truglio,2012
Color,Robert Zemeckis,Eddie Deezen,Tom Hanks,The Polar Express ,Peter Scolari,2004
Color,Roland Emmerich,Sela Ward,Vivica A. Fox,Independence Day: Resurgence ,Judd Hirsch,2016
Color,Dean DeBlois,America Ferrera,Gerard Butler,How to Train Your Dragon ,Craig Ferguson,2010
Color,Jonathan Mostow,M.C. Gainey,Nick Stahl,Terminator 3: Rise of the Machines,Carolyn Hennesy,2003
Color,James Gunn,Vin Diesel,Bradley Cooper,Guardians of the Galaxy ,Djimon Hounsou,2014
Color,Christopher Nolan,Anne Hathaway,Matthew McConaughey,Interstellar ,Mackenzie Foy,2014
